county,case_number,case_id,case_created_at,case_status,case_decision_date,case_title,municipality,handling_number,handling_id,handling_date,handling_title,sender_recipient,case_kind,direct_supervision,target_organisation_name,target_identifiable,trigger_family,problem_domain,mandatory_action_likelihood,external_purchase_likelihood,metadata_specificity,timing_quality,commercial_relevance,likely_supplier_categories,document_required_for_understanding,supplier_already_engaged,manual_notes
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-2,,2026-08-24,PFAS-undersökning på er fastighet,FAAC Nordic AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-3,,2026-08-24,PFAS-undersökning på er fastighet - korrekt fastighetsbeteckning,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-4,,2026-08-25,PFAS-undersökning på er fastighet,BPJ VENTILATION & PLÅT AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-5,,2026-08-25,PFAS-undersökning på er fastighet,Svea Lokaler Perstorp AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-6,,2026-08-25,Meddelande om bekräftelse på tillträde,FAAC Nordic AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-7,,2026-08-26,Meddelande om bekräftelse på medgivet tillträde,FAAC Nordic AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-8,,2026-09-07,"Avrop verifierande fältundersökning för PFAS – fd ESAB, Perstorp",Sweco Sverige AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-9,,2026-09-16,Meddelande om bekräftelse på avrop,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-10,,2026-09-16,Meddelande om startmöte,Sweco Sverige AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-11,,2026-09-17,Meddelande om startmöte,Sweco Sverige AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24913-2026,5585865,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - fd ESAB, Perstorp",Handlingar,24913-2026-12,,2026-09-17,Meddelande om startmöte,Sweco Sverige AB,CONTAMINATED_SITE_SUPERVISION,YES,FAAC Nordic AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24928-2026,5585925,2026-08-19,Handläggning,,"Anmälan om driftsstörning vid Smygehamns avloppsreningsverk, Driftstörning SCADA, Trelleborg kommun",Trelleborg,24928-2026-1,,2026-08-19,"Anmälan om driftsstörning vid Smygehamns avloppsreningsverk, Driftstörning SCADA, Trelleborg kommun",Trelleborgs kommun,ENVIRONMENTAL_INCIDENT,PARTIAL,Trelleborgs kommun,PUBLIC_BODY,INCIDENT_REPORT,WASTEWATER,MEDIUM,LOW,SPECIFIC,TIMELY,LOW,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-2,,2026-08-28,PFAS-undersökning på er fastighet,Vellinge Business Park AB,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-3,,2026-08-28,Meddelande om medgivande till tillträde för undersökning,Vellinge Business Park AB,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-5,,2026-09-07,"Avrop verifierande fältundersökning för PFAS - JMS Mediasystem AB, Vellinge",Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-6,,2026-09-08,Meddelande om avropet,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-7,,2026-09-16,Meddelande om förslag på startmöte,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24940-2026,5585998,2026-08-21,Handläggning,,"Avropsförfrågan verifierande PFAS-provtagning 2026 - JMS Mediasystem AB, Vellinge",Handlingar,24940-2026-8,,2026-09-23,Tjänsteanteckning från startmöte,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Vellinge Business Park AB,COMPANY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-2,,2026-08-28,PFAS-undersökning på er fastighet,Eslövs kommun,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-3,,2026-09-07,Avrop verifierande fältundersökning för PFAS - Eslövs flygplats,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-4,,2026-09-08,Meddelande om avropet,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-5,,2026-09-16,Meddelande om förslag på startmöte,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-6,,2026-09-22,Meddelande om påminnelse om Länsstyrelsens planerade undersökning,Eslövs kommun,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-11,,2026-09-23,Tjänsteanteckning vid samtal om verifierande PFAS-provtagning,Eslövs kommun,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-13,,2026-09-23,Meddelande om medgivande om tillträde för undersökning,Eslövs kommun,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-14,,2026-09-23,Meddelande om bekräftelse på besked om tillträde,Eslövs kommun,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,24945-2026,5586016,2026-08-21,Handläggning,,Avropsförfrågan verifierande PFAS-provtagning 2026 - Eslövs flygplats,Handlingar,24945-2026-15,,2026-09-23,Tjänsteanteckning från startmöte,Structor Miljö Öst AB,CONTAMINATED_SITE_SUPERVISION,YES,Eslövs kommun,PUBLIC_BODY,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,YES,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,25551-2026,5591688,2026-08-25,Handläggning,,"Planerat tillsynsbesök på Orkla Foods Sverige AB, Eslövs kommun",Eslöv,25551-2026-4,,2026-09-21,Återkoppling angående villkor 5 i miljötillstånd,Orkla Foods Sverige AB,DIRECT_SUPERVISION,YES,Orkla Foods Sverige AB,COMPANY,PERMIT_CONDITION_FOLLOWUP,WASTEWATER,MEDIUM,LOW,SPECIFIC,TIMELY,LOW,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_REQUIRED,NO,"Rule-based classification, not individually reviewed."
Skåne,25703-2026,5592857,2026-08-31,Avslutat,2026-09-21,"Anmälan om driftsstörning vid NSR Återvinningsanläggning Helsingborg, Planerad installation på biogasanläggningen, Helsingborg kommun",Helsingborg,25703-2026-1,,2026-08-31,"Anmälan om driftsstörning vid NSR Återvinningsanläggning Helsingborg, Planerad installation på biogasanläggningen, Helsingborg kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,NSR AB,COMPANY,INCIDENT_REPORT,WASTE,LOW,LOW,SPECIFIC,TIMELY,LOW,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,25703-2026,5592857,2026-08-31,Avslutat,2026-09-21,"Anmälan om driftsstörning vid NSR Återvinningsanläggning Helsingborg, Planerad installation på biogasanläggningen, Helsingborg kommun",Helsingborg,25703-2026-2,,2026-09-02,Komplettering av driftsstörning,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,NSR AB,COMPANY,INCIDENT_REPORT,WASTE,MEDIUM,LOW,GENERIC,TIMELY,LOW,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,25934-2026,5594686,2026-09-01,Handläggning,,"Ansökan om statsbidrag för verifierande provtagning 2027, PFAS och sediment",Handlingar,25934-2026-2,,2026-09-02,Ansökan om medel för verifierande provtagning 2027,Naturvårdsverket,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,STATE_FUNDED_SAMPLING,CONTAMINATED_LAND_PFAS,LOW,LOW,SPECIFIC,LATE,LOW,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,NO,Rule-based. State-funded PFAS/sediment sampling procured by Länsstyrelsen; landowner is not the buyer.
Skåne,25951-2026,5594902,2026-08-31,Handläggning,,Förslag till kontrollprogram för NSR återvinningsanläggning Helsingborg,Helsingborg,25951-2026-1,,2026-08-31,Förslag till kontrollprogram för NSR återvinningsanläggning Helsingborg,NSR AB (Nordvästra Skånes Renhållnings AB),DIRECT_SUPERVISION,YES,NSR AB (Nordvästra Skånes Renhållnings AB),COMPANY,CONTROL_PROGRAMME,WASTE,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,26477-2026,5600202,2026-09-07,Handläggning,,"Anmälan om driftsstörning vid Ekebro avloppsreningsverk, Bräddrapport augusti 2026, Bjuv kommun",Bjuv,26477-2026-1,,2026-09-07,"Anmälan om driftsstörning vid Ekebro avloppsreningsverk, Bräddrapport augusti 2026, Bjuv kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,NSVA,ORG_NAMED,INCIDENT_REPORT,WASTEWATER,MEDIUM,LOW,SPECIFIC,TIMELY,LOW,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,26544-2026,5600858,2026-09-07,Handläggning,,"Planerat tillsynsbesök på Ystad Hamn Logistik AB, med fokus på GS-anläggningen och fordonstvätt, Ystad kommun",Ystad,26544-2026-2,,2026-09-07,Begäran om underlag inför tillsynsbesök,Ystad Hamn Logistik AB,DIRECT_SUPERVISION,YES,Ystad Hamn Logistik AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,MONITORING_CONTROL,LOW,LOW,GENERIC,EARLY,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Skåne,26544-2026,5600858,2026-09-07,Handläggning,,"Planerat tillsynsbesök på Ystad Hamn Logistik AB, med fokus på GS-anläggningen och fordonstvätt, Ystad kommun",Ystad,26544-2026-3,,2026-09-17,Tjänsteanteckning om kontrollprogram för fordonstvätt,Ystad Hamn Logistik AB,DIRECT_SUPERVISION,YES,Ystad Hamn Logistik AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,26548-2026,5600916,2026-09-07,Handläggning,,"Planerat tillsynsbesök på Barsebäcksverket, Kävlinge kommun",Kävlinge,26548-2026-1,,2026-09-07,"Meddelande om planerad tillsyn vid Barsebäck Kraft AB, Kävlinge kommun",Barsebäck Kraft AB,DIRECT_SUPERVISION,YES,Barsebäck Kraft AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,GENERAL_SUPERVISION,LOW,LOW,GENERIC,EARLY,LOW,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Skåne,27332-2026,5608247,2026-09-11,Handläggning,,"Anmälan om driftsstörning vid 1283-102, Planerad utrymningsövning Solenis Helsingborgsfabrik tisdag 20260915, Helsingborg kommun",Helsingborg,27332-2026-1,,2026-09-11,"Anmälan om driftsstörning vid 1283-102, Planerad utrymningsövning Solenis Helsingborgsfabrik tisdag 20260915, Helsingborg kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,,NONE,INCIDENT_REPORT,UNKNOWN,LOW,LOW,SPECIFIC,TIMELY,LOW,-,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,28114-2026,5614546,2026-09-16,Handläggning,,"Planerat tillsynsbesök på Blenta AB, Stendala",Tomelilla,28114-2026-2,,2026-08-31,Egenkontrollprogram Stendala,Personuppgift,DIRECT_SUPERVISION,YES,Blenta AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,28115-2026,5614548,2026-09-16,Handläggning,,"Planerat tillsynsbesök på Blenta AB, Gruvbjär",Simrishamn,28115-2026-2,,2026-08-31,Egenkontrollprogram Gruvbjär,Personuppgift,DIRECT_SUPERVISION,YES,Blenta AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,28116-2026,5614550,2026-09-16,Handläggning,,"Planerat tillsynsbesök på Blenta AB, Stenvred",Sjöbo,28116-2026-2,,2026-08-31,Egenkontrollprogram Stenvred,Personuppgift,DIRECT_SUPERVISION,YES,Blenta AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,28117-2026,5614553,2026-09-16,Handläggning,,"Planerat tillsynsbesök på Blenta AB, Ågerup",Sjöbo,28117-2026-2,,2026-08-31,Egenkontrollprogram Ågerup,Personuppgift,DIRECT_SUPERVISION,YES,Blenta AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,28119-2026,5614555,2026-09-16,Handläggning,,"Planerat tillsynsbesök på Blenta AB, Ilstorp",Sjöbo,28119-2026-2,,2026-08-31,Egenkontrollprogram Ilstorp,Personuppgift,DIRECT_SUPERVISION,YES,Blenta AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,LOW,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,28186-2026,5615135,2026-09-17,Handläggning,,Planerat tillsynsbesök på NSR Åstorp i Åstorps kommun,Åstorp,28186-2026-2,,2026-09-17,Information om dagordning till tillsynsbesök 29 september 2026,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,SUPERVISION_VISIT_SCHEDULED,GENERAL_SUPERVISION,LOW,LOW,GENERIC,EARLY,LOW,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
