source_process,document_type,case_number,case_title,case_status,document_number,document_date,organisation_name,organisation_number,workplace_name,workplace_cfar,county,municipality,deficiency_family,specificity,deficiency_detail,required_action,purchase_type,supplier_category,incumbent_risk,purchase_value,timing,metadata_sufficiency,earliest_public_title,earliest_public_date,days_before_sanction,inspection_message_before,chronology_sampled
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2025/081223,Återkommande besiktning - Fordonlyft flerpelare,Avslutat,2025/081223-1,2025-12-29,MOTORKONSULT I NYKÖPING AB,5569265886,MOTORKONSULT I NYKÖPING AB,53171922,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonlyft flerpelare,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonlyft flerpelare,2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2025/081228,Återkommande besiktning - Traverskran maskindriven,Avslutat,2025/081228-1,2025-12-29,VOLVO CAR AB,5568108988,VOLVO CAR AB,51890432,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Traverskran maskindriven,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Traverskran maskindriven,2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2025/081269,Återkommande besiktning - Fordonslyft flerpelarlyft,Avslutat,2025/081269-1,2025-12-29,BILIA CENTER CITY AB,5562307545,BILIA CENTER CITY AB,51402519,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonslyft flerpelarlyft,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonslyft flerpelarlyft,2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2025/081270,Återkommande besiktning - Lastmaskin med kranarm,Avslutat,2025/081270-1,2025-12-29,RAMIRENT AB,5565594610,KC EXPORTGATAN,50251537,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Lastmaskin med kranarm,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Lastmaskin med kranarm,2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000339,"Återkommande besiktning - Traverskran maskindriven, två stycken",Avslutat,2026/000339-1,2025-12-29,ASPA PULP AB,5560646498,ASPA PULP AB,10118081,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Traverskran maskindriven, två stycken",Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Traverskran maskindriven, två stycken",2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000341,"Återkommande besiktning - Telfer på balk, två stycken",Avslutat,2026/000341-1,2025-12-29,ASPA PULP AB,5560646498,ASPA PULP AB,10118081,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Telfer på balk, två stycken",Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Telfer på balk, två stycken",2025-12-29,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000345,Återkommande besiktning - Plocktruck,Avslutat,2026/000345-1,2025-12-30,LINDE MATERIAL HANDLING AB,5565424297,REGIONKONTOR,20494605,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Plocktruck,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Plocktruck,2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000350,Återkommande besiktning - Tryckluftbehållare,Avslutat,2026/000350-1,2025-12-30,SOLIDUTVECKLING MATTSSON AB,5592056856,SOLIDUTVECKLING MATTSSON AB,60913845,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tryckluftbehållare,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tryckluftbehållare,2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000381,"Uppställning av krossverk - Karlstad, Örebro, Arvika",Avslutat,2026/000381-1,2025-12-30,LEDINS GRUS AKTIEBOLAG,5560862426,LEDINS GRUS AKTIEBOLAG,10614246,,,NOT_A_CERTIFICATE_TITLE,UNKNOWN,"Uppställning av krossverk - Karlstad, Örebro, Arvika",-,UNKNOWN,-,-,-,EARLY,DOCUMENT_REQUIRED,"Uppställning av krossverk - Karlstad, Örebro, Arvika",2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000382,Uppställning av krossverk - Gillstad,Avslutat,2026/000382-1,2025-12-30,LEDINS GRUS AKTIEBOLAG,5560862426,LEDINS GRUS AKTIEBOLAG,10614246,,,NOT_A_CERTIFICATE_TITLE,UNKNOWN,Uppställning av krossverk - Gillstad,-,UNKNOWN,-,-,-,EARLY,DOCUMENT_REQUIRED,Uppställning av krossverk - Gillstad,2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000384,Återkommande besiktning - bakgavellyft,Avslutat,2026/000384-1,2025-12-30,SKANSKA INDUSTRIAL SOLUTIONS AB,5567931638,SKANSKA INDUSTRIAL SOLUTIONS AB,69950194,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,bakgavellyft,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - bakgavellyft,2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000388,"Återkommande besiktning - Fordonslyft flerpelare, två stycken",Avslutat,2026/000388-1,2025-12-30,BILIA PERSONBILAR AB,5560631086,BILIA HAGA NORRA,15220353,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Fordonslyft flerpelare, två stycken",Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Fordonslyft flerpelare, två stycken",2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000395,Återkommande besiktning - Fordonslyft flerpelare,Avslutat,2026/000395-1,2025-12-30,BILDEVE AKTIEBOLAG,5560838251,REPARATIONSVERKSTAD PERSONBILAR,10303162,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonslyft flerpelare,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonslyft flerpelare,2025-12-30,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000599,Återkommande besiktning - Pelletspanna,Avslutat,2026/000599-1,2026-01-02,KUNGSÄTER INDUSTRI AKTIEBOLAG,5561509760,KUNGSÄTER INDUSTRI AKTIEBOLAG,11079878,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Pelletspanna,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Pelletspanna,2026-01-02,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000604,Återkommande besiktning - Tornkran,Avslutat,2026/000604-1,2026-01-02,SKANSKA RENTAL AB,5560909037,ANGERED KROSS,58940032,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tornkran,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tornkran,2026-01-02,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000821,Återkommande besiktning - Fordonskran HMF,Avslutat,2026/000821-1,2026-01-02,SORTERA RECYCLING AB,5567134308,MARIEVIK,69532489,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonskran HMF,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonskran HMF,2026-01-02,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000829,Återkommande besiktning - Tryckkärl,Avslutat,2026/000829-1,2026-01-02,COOP VÄST AB,5569813172,COOP HJO,52535275,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tryckkärl,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tryckkärl,2026-01-02,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000830,Återkommande besiktning - Tryckluftsbehållare,Avslutat,2026/000830-1,2026-01-02,SANTA MARIA AB,5560475658,HUVUDKONTOR,58086836,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tryckluftsbehållare,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tryckluftsbehållare,2026-01-02,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000748,Återkommande besiktning - Varmvattenpanna,Avslutat,2026/000748-1,2026-01-07,RIKSBYGGEN BOSTADSRÄTTSFÖRENING FURULUNDSHUS NR 1,7450002766,RIKSBYGGEN BOSTADSRÄTTSFÖRENING FURULUNDSHUS NR 1,11187044,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Varmvattenpanna,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Varmvattenpanna,2026-01-07,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000750,Återkommande besiktning - Fordonslyft flerpelarlyft,Avslutat,2026/000750-1,2026-01-07,VIANOR AB,5561851063,VIANOR AB,14573133,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonslyft flerpelarlyft,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonslyft flerpelarlyft,2026-01-07,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/000993,Återkommande besiktning - Fordonslyft flerpelarlyft,Avslutat,2026/000993-1,2026-01-08,SVALÖVS KOMMUN,2120000993,SVALÖFS GYMNASIUM,11364353,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Fordonslyft flerpelarlyft,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Fordonslyft flerpelarlyft,2026-01-08,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001130,Återkommande besiktning - Mobil arbetsplattform,Avslutat,2026/001130-1,2026-01-08,RAMIRENT AB,5565594610,HUVUDKONTOR BRUNNA,57331738,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Mobil arbetsplattform,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Mobil arbetsplattform,2026-01-08,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001204,Återkommande besiktning - rörlig lastbrygga,Avslutat,2026/001204-1,2026-01-08,DSV ROAD AB,5560456674,DSV ROAD AB,10237626,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,rörlig lastbrygga,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - rörlig lastbrygga,2026-01-08,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001208,Återkommande besiktning - plocktruck,Avslutat,2026/001208-1,2026-01-08,DSV ROAD AB,5560456674,DSV ROAD AB,10237626,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,plocktruck,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - plocktruck,2026-01-08,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001672,Återkommande besiktning - mobil arbetsplattform,Avslutat,2026/001672-1,2026-01-12,CRAMO AB,5561043539,SOLNA,71658389,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,mobil arbetsplattform,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - mobil arbetsplattform,2026-01-12,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001673,Återkommande besiktning - mobil arbetsplattform,Avslutat,2026/001673-1,2026-01-12,CRAMO AB,5561043539,HK,27282318,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,mobil arbetsplattform,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - mobil arbetsplattform,2026-01-12,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001858,Återkommande besiktning - Traverskran maskindriven,Avslutat,2026/001858-1,2026-01-12,BULTSVETSTEKNIK SVERIGE AB,5592027246,BULTSVETSTEKNIK SVERIGE AB,60883691,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Traverskran maskindriven,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Traverskran maskindriven,2026-01-12,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001959,Återkommande besiktning - Kokgryta,Avslutat,2026/001959-1,2026-01-12,UMEÅ KOMMUN,2120002627,SANDVIKS SKOLA,19352368,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Kokgryta,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Kokgryta,2026-01-12,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/001995,Återkommande besiktning - Bakgavellyft,Avslutat,2026/001995-1,2026-01-12,L.G.A. TRANSPORT & SERVICE AKTIEBOLAG,5564050556,L.G.A. TRANSPORT & SERVICE AKTIEBOLAG,29352317,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Bakgavellyft,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Bakgavellyft,2026-01-12,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002026,Återkommande besiktning - Mobil arbetsplattform,Avslutat,2026/002026-1,2026-01-13,VOLVO CAR RETAIL AB,5566276175,VOLVO CAR TUVE,70058300,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Mobil arbetsplattform,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Mobil arbetsplattform,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002076,"Återkommande besiktning - två varmvattenpannor, en oljepanna",Avslutat,2026/002076-1,2026-01-13,ÖSTERSUNDS KOMMUN,2120002528,TREÄLVSSKOLAN,19216613,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"två varmvattenpannor, en oljepanna",Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - två varmvattenpannor, en oljepanna",2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002153,Återkommande besiktning - Grävlastare,Pågående,2026/002153-1,2026-01-13,GÅRDEN PARTIHANDEL I LUNDSBRUNN AB,5562058403,GÅRDEN PARTIHANDEL I LUNDSBRUNN AB,20852067,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Grävlastare,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Grävlastare,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002180,Återkommande besiktning - Tryckluftbehållare,Avslutat,2026/002180-1,2026-01-13,HAVATOR AKTIEBOLAG,5562638246,HAVATOR AKTIEBOLAG,27551159,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tryckluftbehållare,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tryckluftbehållare,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002265,Återkommande besiktning - lastbrygga,Avslutat,2026/002265-1,2026-01-13,COOP SVERIGE AB,5567105480,COOP SVERIGE AB,61191953,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,lastbrygga,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - lastbrygga,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002404,Återkommande besiktning - Tryckluftbehållare,Avslutat,2026/002404-1,2026-01-13,THULE SWEDEN AB,5560763970,THULE SWEDEN AB,10540318,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Tryckluftbehållare,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Tryckluftbehållare,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002405,Återkommande besiktning - Ångpanna,Avslutat,2026/002405-1,2026-01-13,KLS UGGLARPS AB,5567408439,KLS UGGLARPS AB,11168358,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Ångpanna,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Ångpanna,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002422,Återkommande besiktning - Mobil arbetsplattform,Avslutat,2026/002422-1,2026-01-13,CRAMO AB,5561043539,BACKAPLAN GÖTEBORG,30762876,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Mobil arbetsplattform,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Mobil arbetsplattform,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002432,Återkommande besiktning - Traverskran maskindriven,Avslutat,2026/002432-1,2026-01-13,PAN TRADING MACHINERY AB,5566012521,PAN TRADING MACHINERY AB,30849392,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Traverskran maskindriven,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Traverskran maskindriven,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002438,"Återkommande besiktning - Vattenvärmare, två stycken",Avslutat,2026/002438-1,2026-01-13,ROSLAGENS ENERGI- OCH DRIFTTEKNIK AKTIEBOLAG,5563592327,ROSLAGENS ENERGI- OCH DRIFTTEKNIK AKTIEBOLAG,28335776,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Vattenvärmare, två stycken",Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Vattenvärmare, två stycken",2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002443,"Återkommande besiktning - Lastbrygga, två stycken",Avslutat,2026/002443-1,2026-01-13,POSTNORD SVERIGE AB,5567115695,SEGELTORP HÄRADSVÄGEN,27275791,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Lastbrygga, två stycken",Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Lastbrygga, två stycken",2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002445,"Återkommande besiktning - Fordonslyft flerpelarlyft, två stycken",Pågående,2026/002445-1,2026-01-13,SÄTRA MOTORCENTER AB,5566029616,SÄTRA MOTORCENTER AB,73533838,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Fordonslyft flerpelarlyft, två stycken",Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Fordonslyft flerpelarlyft, två stycken",2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002448,Återkommande besiktning - Traverskran maskindriven,Avslutat,2026/002448-1,2026-01-13,MASKIN & MARINTEKNIK PÅ GOTLAND AB,5567130256,MASKIN & MARINTEKNIK PÅ GOTLAND AB,32634685,,,LIFTING_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Traverskran maskindriven,Correct the deficiencies noted by the inspection body before the device is used again; re-inspection,REPAIR_THEN_REINSPECTION,Lifting-equipment service/repair (by device type); accredited inspection body for re-inspection,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Traverskran maskindriven,2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002456,"Återkommande besiktning - Bulkbil, två stycken",Avslutat,2026/002456-1,2026-01-13,AKTIEBOLAGET JOHAN HANSSON,5560378746,AKTIEBOLAGET JOHAN HANSSON,10277580,,,OTHER_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,"Bulkbil, två stycken",Correct deficiencies on the named device,REPAIR_THEN_REINSPECTION,Equipment service (by device type),HIGH,LOW,EARLY,METADATA_SUFFICIENT,"Återkommande besiktning - Bulkbil, två stycken",2026-01-13,,,NO
6.1 Bedriva inspektion,6.1-49 Intyg återkommande besiktning,2026/002457,Återkommande besiktning - Transportbehållare,Avslutat,2026/002457-1,2026-01-13,AKTIEBOLAGET JOHAN HANSSON,5560378746,AKTIEBOLAGET JOHAN HANSSON,10277580,,,PRESSURE_EQUIPMENT_FAILED_INSPECTION,DETERMINISTIC,Transportbehållare,Correct deficiencies / take the pressure equipment out of service; re-control,REPAIR_THEN_REINSPECTION,Pressure-equipment / boiler / compressor service; accredited inspection body,HIGH,MEDIUM,EARLY,METADATA_SUFFICIENT,Återkommande besiktning - Transportbehållare,2026-01-13,,,NO
